loan_amnt,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,open_acc,total_pymnt,total_rec_int
5000,B,B2,10+ years,RENT,24000,2017/12/11,Fully Paid,3,5863.155187,863.16
2500,C,C4,< 1 year,RENT,30000,2017/12/11,Charged Off,3,1014.53,435.17
12500,D,D4,10+ years,RENT,74400,2017/11/11,Fully Paid,8,14722.41191,2222.41
14000,A,A4,10+ years,RENT,72000,2017/11/11,fully Paid,6,15099.98253,1099.98
35000,F,F5,4 years,MORTGAGE,100000,2017/10/11,Fully Paid,9,48743.11927,13743.12
16000,C,C2,10+ years,OWN,,2017/10/11,Charged Off,13,9202,3800.05
14125,B,B5,10+ years,OWN,60000,2017/10/11,Fully Paid,13,16750.73852,2625.74
5000,B,B2,4 years,RENT,49000,2017/9/11, Fully Paid,10,5863.155187,863.16
6000,A,A5,10+ years,MORTGAGE,48000,2017/9/11,Fully Paid,11,7235.598134,1235.6
12000,C,C3,< 1 year,MORTGAGE,81996,2017/10/11,Fully Paid,11,16996.73999,4996.74
4000,D,D4,10+ years,MORTGAGE,40000,2017/6/11,Fully Paid,3,5118.676867,1118.68
8000,B,B4,1 year,RENT,42000,2017/6/11,Charged Off,10,3962.34,968.75
27000,D,D5,6 years,MORTGAGE,83004,2017/6/11,Fully Paid,7,29820.27686,2820.28
25000,C,C4,10+ years,RENT,79000,2017/5/11,Fully Paid,13,33063.91278,8063.91
17600,D,D4,8 years,RENT,72000,2017/5/11,Fully Paid,14,20172.78686,2572.79
20000,D,D2,4 years,RENT,40000,2017/5/11,  Charged Off,6,23742.3,8046.39
12400,C,C2,10+ years,RENT,65000,2017/5/11,Fully Paid,10,15146.53374,2746.53
6000,D,D3,< 1 year,MORTGAGE,60000,2017/5/11,Charged Off,7,6543.59,1584.75
12800,A,A3,10+ years,MORTGAGE,100000,2017/4/11,Fully Paid,10,14211.31291,1411.31
2100,A,A5,1 year,MORTGAGE,72000,2017/4/11,Fully Paid,15,2357.178487,257.18
17325,F,F2,9 years,RENT,35004,2017/4/11,Charged Off,10,7437.12,3758.96
5000,C,C5,10+ years,MORTGAGE,69000,2017/3/11,Fully Paid,7,6183.766196,1168.77
24175,B,B5,9 years,MORTGAGE,95000,2017/3/11,charged Off,8,24422.87,4242.7
30000,E,E1,1 year,MORTGAGE,100000,2017/4/11,Fully Paid,14,44124.85995,14124.86
35000,E,E1,10+ years,RENT,106000,2017/3/11,Fully Paid,8,48845.29221,13845.29
18000,A,A5,8 years,MORTGAGE,82000,2017/4/11,Fully Paid,8,20204.46124,2204.46
30000,E,E1,1 year,MORTGAGE,100000,2017/4/11,Fully Paid,14,44124.85995,14124.86
35000,E,E1,10+ years,RENT,106000,2017/3/11,Fully Paid,8,48845.29221,13845.29
18000,A,A5,8 years,MORTGAGE,82000,2017/4/11,Fully Paid,8,20204.46124,2204.46
,A,A4,10+ years,RENT,58000,2017/1/11,Fully Paid,12,10994.61481,994.61
12000,C,C2,10+ years,MORTGAGE,75000,2017/1/11,Fully Paid,15,14475.29448,2475.29
